Libros,Genero
"Django the Bastard (Strangers Gundown, The) (Django il bastardo)",Action|Thriller|Western
What Alice Found,Crime|Drama
"Trio, The (Trio, Das)",Drama|Romance
De nieuwe Wildernis,Documentary
Firefox,Action|Sci-Fi|Thriller
From the Life of the Marionettes (Aus dem Leben der Marionetten) ,Drama
Modify ,Documentary
I Was a Male War Bride,Comedy|Romance
Farewell to Matyora,Drama
Big Top Pee-Wee,Adventure|Children|Comedy
"Colour of Magic, The (Terry Pratchett's The Colour of Magic)",Adventure|Comedy|Fantasy
"Rain People, The",Drama
"Long Weekend, The",Comedy
Youth Without Youth,Drama|Romance|Sci-Fi
The Girl in a Swing,Drama|Romance
"Color of Pomegranates, The (Sayat Nova)",Drama
Youth of the Beast (Yaju no seishun),Action|Crime|Mystery
Out Cold,Comedy|Thriller
99 Homes,Drama
Lord of War,Action|Crime|Drama|Thriller|War
Sleepaway Camp,Horror
Star Trek: First Contact,Action|Adventure|Sci-Fi|Thriller
Living Will...,Comedy
Tex,Drama
"James Dean Story, The",Documentary
Johnny Skidmarks,Crime|Drama|Mystery|Thriller
Mr. Magoo,Comedy
A Pigeon Sat on a Branch Reflecting on Existence,Comedy|Drama
And Nobody Weeps for Me (Und keiner weint mir nach),Drama|Romance
Paycheck,Action|Sci-Fi|Thriller
Get Him to the Greek,Comedy
Barefoot (Barfuss),Comedy|Drama|Romance
"Brady Bunch Movie, The",Comedy
Miracle Run,Drama
Kocken,(no genres listed)
To Live and Die in L.A.,Action|Crime|Drama|Thriller
Empire of the Wolves (L'empire des loups),Action|Drama|Thriller
Final Destination,Drama|Thriller
Kleines Arschloch - Der Film,Animation|Comedy
The Passerby,Drama
Eddie Izzard: Dress to Kill,Comedy
"King of Ping Pong, The (Ping-pongkingen)",Drama
"Horse Soldiers, The",Adventure|War|Western
Baby Boy,Crime|Drama
The Young Savages,Crime|Drama
Tibet: Cry of the Snow Lion,Documentary
Bruna Surfistinha,Drama
Easy A,Comedy|Romance
Khodorkovsky,Documentary|Drama
"Monster Squad, The",Adventure|Comedy|Horror
Jerusalem,Drama
Extraterrestrial,Horror|Sci-Fi
Gigi,Comedy
"Great Waldo Pepper, The",Drama|Romance
Islands in the Stream,Drama
Zeder,Horror
Hellbound?,Documentary
Mother India,Drama|Musical
Blast from the Past,Comedy|Romance
Stealing Rembrandt (Rembrandt),Action|Comedy|Crime
Videocracy (Videocracy - Basta apparire),Documentary
"Locusts, The",Drama
Harry and the Hendersons,Children|Comedy
Dumbo,Animation|Children|Drama|Musical
Gold Diggers: The Secret of Bear Mountain,Adventure|Children
Yes: 9012 Live,Documentary|Musical
"Niagara, Niagara",Drama
"Collection, The",Action|Horror|Thriller
"Man Called Sledge, A",Western
High Sierra,Crime|Drama|Film-Noir|Thriller
Blue Hawaii,Comedy|Musical
"Lebanon, Pa.",Drama
Ghoulies,Horror
Return of the Living Dead Part II,Comedy|Horror
"Border, The",Drama
Crossroads,Drama
Plaza Suite,Comedy
Mobsters,Crime|Drama
Cousinhood (Primos),Comedy
Mutual Appreciation,Comedy|Drama
"Boys of St. Vincent, The",Drama
Death Ship,Horror
"Joy Luck Club, The",Drama|Romance
The Last Wagon,Action|Adventure|Drama|Western
The Jackie Robinson Story,Children|Drama
Wild Seven,Crime|Drama
Lockdown,Drama
Boy Meets Girl,Comedy|Drama|Romance
All or Nothing,Drama
Which Way to the Front?,Comedy|War
Dark Forces (Harlequin),Drama|Fantasy|Mystery
Dirty Filthy Love,Drama|Romance
"My Son, My Son, What Have Ye Done",Drama|Horror
Sex Drive,Comedy
Always for Pleasure,(no genres listed)
"Golden Compass, The",Adventure|Children|Fantasy
Man in the Middle,Drama|War
Cinderella,Animation|Children|Fantasy|Musical|Romance
Escobar: Paradise Lost,Romance|Thriller
Extreme Prejudice,Action
Bakhita,Drama
Steamboat Willie,Animation|Children|Comedy|Musical
Two Girls and a Sailor,Comedy|Musical|Romance
"Season for Miracles, A",Children|Romance
"Cold Light of Day, The",Drama|Thriller
"Four Feathers, The",Adventure|War
Cop Land,Action|Crime|Drama|Thriller
Sundome,Comedy|Drama|Romance
It's in the Water,Comedy
Monsters vs. Aliens,Animation|Sci-Fi|IMAX
Foreign Correspondent,Drama|Film-Noir|Mystery|Thriller
Scooby-Doo! The Mystery Begins,Comedy|Fantasy|Mystery
"Happening, The",Drama|Sci-Fi|Thriller
"Early Years: Erik Nietzsche Part 1, The (De unge år: Erik Nietzsche)",Comedy|Drama
"Return of the Magnificent Seven, The (a.k.a. Return of the Seven)",Western
"Triumph of the Nerds, The: The Rise of Accidental Empires",Documentary
RocketMan (a.k.a. Rocket Man),Children|Comedy|Romance|Sci-Fi
"Blind Side, The",Drama
With a Song in My Heart,Drama|Musical
Thomasine & Bushrod,Action|Crime|Western
Doubt,Drama|Mystery
"Battery, The",Drama|Horror
Roman,Drama|Thriller
Cold Sweat (De la part des copains),Action|Drama|Thriller
Copycat,Crime|Drama|Horror|Mystery|Thriller
Someone Like You,Comedy|Romance
Lincz,Drama|Thriller
Me and Him (Ich und Er),Comedy
Experimenter,Drama
Fire Over England,Adventure|Romance|War
Amen,Drama|Musical
Chronos,Documentary|IMAX
"Atomic States of America, The",Documentary
Come Early Morning,Drama|Romance
FDR: American Badass!,Action|Comedy
"Ring Finger, The (L'annulaire)",Drama
Wristcutters: A Love Story,Drama|Fantasy|Romance
Godzilla vs. Mechagodzilla (Gojira tai Mekagojira),Action|Horror|Sci-Fi
Ignition,Action|Drama
"Tango Lesson, The",Romance
Anne Frank Remembered,Documentary
"Rock-afire Explosion, The",Documentary
Sylvia and the Ghost,Comedy|Fantasy|Romance
Smart Money,Crime|Drama
"Cheap Detective, The",Comedy
Frankenstein Unbound,Drama|Horror|Sci-Fi
"Accidental Tourist, The",Comedy|Drama|Romance
"Great White Hope, The",Action|Drama
Across the Tracks,Drama
"Stranger, The",Action
Aaja Nachle,Comedy|Musical|Romance
Hairspray,Comedy|Drama|Musical
King of the Ants,Crime|Horror
Bye Bye Monkey (Ciao maschio),Comedy|Drama|Fantasy
Penny Dreadful,Horror|Thriller
Under the Domim Tree (Etz Hadomim Tafus),Drama
Son of God,Drama
Ouija,Horror
"Last Days, The (Últimos días, Los)",Adventure|Sci-Fi|Thriller
Bruiser,Horror|Thriller
Starman,Adventure|Drama|Romance|Sci-Fi
Calling Dr. Gillespie,Crime|Drama|Thriller
Dirty Dancing: Havana Nights,Romance
Louis C.K.: Chewed Up,Comedy
"Message from Akira Kurosawa: For Beautiful Movies, A (Kurosawa Akira kara no messêji: Utsukushii eiga o)",Documentary
Bandits (Bandidos),Action|Adventure|War
The Very Thought of You,Drama|Romance
Al otro lado,Drama
Smart People,Comedy|Drama|Romance
Farmageddon,Documentary
Trust Me,Comedy|Drama
Return of the Fly,Horror|Sci-Fi
Riding Alone for Thousands of Miles (Qian li zou dan qi),Drama
Bully,Crime|Drama|Thriller
Seven Ways from Sundown,Action|Adventure|Western
Nightmare,Horror|Mystery|Thriller
Resurrection Man,Drama|Thriller
No Time for Love,Comedy|Romance
"Quiet Man, The",Drama|Romance
Flyboys,Action|Adventure|Drama|War
"Big Chill, The",Comedy|Drama
Romance,Drama|Romance
To Get to Heaven First You Have to Die (Bihisht faqat baroi murdagon),Drama
Reunion in France,Drama|Romance|War
24 Exposures,Crime|Drama|Thriller
Wild at Heart,Crime|Drama|Mystery|Romance|Thriller
Wanted,Action|Romance
"Myth of Fingerprints, The",Comedy|Drama
Torch Song,Drama|Romance
Countdown,Sci-Fi|Thriller
Louise-Michel,Comedy
Ruby in Paradise,Drama
"Two Jakes, The",Drama
Confidential Report,Crime|Drama|Mystery|Thriller
"Human Factor, The",Drama|Thriller
"Wind That Shakes the Barley, The",Drama|War
"Goddess, The (Shen nu)",Drama
Shake Hands with the Devil,Drama|War
Transcendent Man,Documentary
Corpo Celeste,Drama
Squirm,Horror|Romance
Fay Grim,Action|Thriller
"Slums of Beverly Hills, The",Comedy|Drama
Tenchi: The Samurai Astronomer,Drama
The Man Who Wouldn't Die,Crime|Drama|Thriller
"Star Witness, The",Drama
Angels & Demons,Crime|Drama|Mystery|Thriller
Latter Days,Comedy|Drama|Romance
Shutter,Horror|Mystery|Thriller
The Christmas Wish,Children|Drama|Romance
Tango & Cash,Action|Comedy|Crime|Thriller
One-Eyed Monster,Comedy|Horror|Sci-Fi
"Deer Hunter, The",Drama|War
He Who Dares,Action
Chaos (Kaosu),Crime|Mystery|Thriller
Beneath the 12-Mile Reef,Adventure
Paulette,Comedy|Crime
"Silence, The (Das letzte Schweigen)",Crime|Drama|Thriller
"Street with No Name, The",Crime|Drama|Film-Noir|Thriller
Shock Corridor,Drama
Shadrach,Drama
Once Upon a Warrior (Anaganaga O Dheerudu),Action|Adventure|Fantasy|Musical|Romance
Katzelmacher,Drama|Romance
Howl's Moving Castle (Hauru no ugoku shiro),Adventure|Animation|Fantasy|Romance
Analyze This,Comedy
Funny People,Comedy|Drama
"Nameless, The (Los sin nombre)",Drama|Horror|Mystery
388 Arletta Avenue,Thriller
Barton Fink,Drama|Thriller
"Canterbury Tale, A",Drama|Mystery|War
From Within,Horror|Thriller
Ricky Gervais Live 3: Fame,Comedy
Lost Angels,Drama
"Noordzee, Texas (North Sea Texas)",Drama
East of Eden,Drama
You Were Never Lovelier,Comedy|Musical|Romance
Central Station (Central do Brasil),Drama
Frostbitten (Frostbiten),Comedy|Horror
Loners (Samotári),Drama
Santa with Muscles,Comedy
Life After People,Documentary
Resident Evil: Afterlife,Action|Horror|Sci-Fi|Thriller|IMAX
Madadayo (a.k.a. Not Yet),Drama
How to Eat Your Watermelon in White Company (and Enjoy It),Documentary
Headhunters (Hodejegerne),Action|Crime|Thriller
Ruthless People,Comedy
G.O.R.A.,Adventure|Comedy|Sci-Fi
Snoopy Come Home,Animation|Children|Comedy|Musical
Super Bitch,Action
Secrets,Western
"Affairs of Anatol, The",Comedy|Drama
"Matter of Taste, A (Affaire de Goût, Une)",Crime|Drama|Thriller
Dreamboat,Comedy
The Boy Who Cried Werewolf,Children|Horror
"Dead Times (Temps morts, Les)",Animation
Spring Forward,Drama
Goal! III,Drama|Romance
Death Wish 3,Action|Drama
Radio Rebel,Drama
Stagecoach,Action|Drama|Romance|Western
Snow White,Fantasy|Romance
Dear Brigitte,Comedy
That Obscure Object of Desire (Cet obscur objet du désir),Drama
Dry Summer (Susuz yaz) (Reflections),Drama
Jason's Lyric,Crime|Drama
Dumb and Dumberer: When Harry Met Lloyd,Comedy
"Last Days of Disco, The",Comedy|Drama
"Greatest, The",Drama|Romance
Escape from New York,Action|Adventure|Sci-Fi|Thriller
"Last Seven, The",Horror|Mystery|Thriller
"Ugly Dachshund, The",Children|Comedy
Beginning of the End,Sci-Fi
"Final, The",Drama|Horror|Thriller
Blast,Action|Comedy|Thriller
Colombiana,Action|Adventure|Drama|Thriller
Catastroika,Documentary
Chillerama,Comedy|Horror
MacGyver: Lost Treasure of Atlantis,Action|Adventure
Sudden Death,Action
"Money Money Money (L'aventure, c'est l'aventure)",Adventure|Comedy
Berta's Motives (Los motivos de Berta: Fantasía de Pubertad),Drama
Linda Linda Linda,Comedy|Drama
This Is the Army,Comedy|Musical|War
"Magic Sword, The",Drama|Fantasy
"Perfect Circle, The (Savrseni krug)",Drama|War
Grandma's Boy,Action|Comedy|Romance
Company of Heroes,Action|War
Johnny Guitar,Drama|Western
Malta G.C.,Documentary|War
"Spirit of '76, The",Comedy|Sci-Fi
"Cool, Calm and Collected (Calmos)",Comedy
Zeisters (Fat Guy Goes Nutzoid),Comedy
Made in U.S.A.,Crime|Mystery
I Am the Law,Crime|Drama
Darfur Now,Documentary
"Hanging Tree, The",Drama|Romance|Western
Block Party (a.k.a. Dave Chappelle's Block Party),Comedy|Documentary
Snapshot,Drama|Horror|Thriller
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin),Documentary
Spite Marriage,Comedy
Thomasine & Bushrod,Action|Crime|Western
Spite Marriage,Comedy
"Arrival, The",Action|Sci-Fi|Thriller
Light Is Calling,(no genres listed)
"In Crowd, The",Thriller
North to Alaska,Comedy|Western
Shotgun Stories,Drama|Thriller
"Fear, The",Horror
Valley of the Dragons,Sci-Fi
"House of Yes, The",Comedy|Drama
"Long Absence, The (Une aussi longue absence)",Drama
No Man's Land,Drama|War
MC5*: A True Testimonial,Documentary
Real Life,Comedy
"Baxter, The",Comedy|Drama|Romance
Bizarre,(no genres listed)
Tess of the Storm Country,Drama
New Best Friend,Drama|Thriller
Barbarian Queen,Action|Adventure|Fantasy
District 13 (Banlieue 13),Action|Crime|Sci-Fi
Multiplicity,Comedy
"Money Pit, The",Comedy
Life According to Sam,Documentary|Drama
"Badlanders, The",Romance|Western
Runaway,Action|Animation|Comedy
Along Came Jones,Comedy|Romance|Western
Batman Returns,Action|Crime
"Dead Next Door, The",Horror
"Monster X Strikes Back: Attack the G8 Summit, The (Girara no gyakushû: Tôya-ko Samitto kikiippatsu)",Comedy|Sci-Fi
"Quest, The",Action|Adventure
Deceived,Thriller
He's Just Not That Into You,Comedy|Drama|Romance
The Missouri Breaks,Drama|Western
Friday the 13th,Horror|Mystery|Thriller
Your Highness,Action|Adventure|Comedy|Fantasy
"Matter of Dignity, A (To teleftaio psema)",Drama
Decision Before Dawn,Drama|War
Umberto D.,Drama
"Haunted House 2, A",Comedy|Horror
Anatahan,Drama|War
Delta of Venus,Drama
Ragtime,Drama
Hick,Drama|Romance
Twilight,Drama|Fantasy|Romance|Thriller
At Play in the Fields of the Lord,Drama
Fear and Desire,Drama|War
Hit Man,Crime|Drama
I See a Dark Stranger,Romance|Thriller
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile),Comedy|Romance
Girls Rock!,Documentary
Männerherzen... und die ganz ganz große Liebe,Comedy|Drama|Romance
My Führer,Comedy|Drama|War
CJ7 (Cheung Gong 7 hou),Children|Comedy|Sci-Fi
Final Fantasy VII: Advent Children,Action|Adventure|Animation|Fantasy|Sci-Fi
Claire of the Moon,Drama|Romance
Your Life in 65 (Tu vida en 65'),Comedy|Romance
Stealing Beauty,Drama
Holes,Adventure|Children|Comedy|Mystery
Northeast,Drama
"English Patient, The",Drama|Romance|War
"Last Man on Earth, The (Ultimo uomo della Terra, L')",Drama|Horror|Sci-Fi
Godzilla vs. SpaceGodzilla (Gojira VS Supesugojira),Action|Sci-Fi
Freedom Downtime,Adventure|Crime|Documentary
Gregory Go Boom,Comedy
Edge of Tomorrow,Action|Sci-Fi|IMAX
Night at the Museum: Battle of the Smithsonian,Action|Comedy|IMAX
Father and Guns (De père en flic),Comedy|Crime
If Only,Drama|Fantasy|Romance|Thriller
Raspberry Boat Refugee,Comedy
"Alibi, The (Lies and Alibis)",Comedy|Drama|Romance
I Am Number Four,Action|Sci-Fi|Thriller|IMAX
"Messenger, The",Drama|Romance|War
Ruins,Documentary
Coffee Town,Comedy
Experiment in Terror,Crime|Thriller
Lions For Lambs,Drama|Thriller|War
Girlhood,Documentary
Susannah of the Mounties,Drama
Lethal Weapon,Action|Comedy|Crime|Drama
Crows Zero II (Kurôzu Zero II),Action
On the Occasion of Remembering the Turning Gate (Saenghwalui balgyeon),Drama
Uncovered,Mystery|Thriller
Bianca Beauchamp: All Access,Documentary
Chouchou,Comedy
"Man from Planet X, The",Horror|Romance|Sci-Fi
"Executioner, The",Drama|Thriller
"Jane Austen Book Club, The",Drama|Romance
Bolivia,Drama
"Age of Innocence, The",Drama
"Misérables, Les",Drama|Musical|Romance|IMAX
Potiche,Comedy
"Monuments Men, The",Action|Drama|War
Dead Man's Shoes,Crime|Thriller
Elephant,Drama
"King, The",Drama
Gang Tapes,Drama
Surf Nazis Must Die,Action|Comedy|Drama|Horror
Beauty and the Bastard (Tyttö sinä olet tähti),Drama|Musical|Romance
Haunted House,(no genres listed)
"Triumph of the Nerds, The: The Rise of Accidental Empires",Documentary
Nothing to Lose (a.k.a. Ten Benny),Drama
Ghosts of Cité Soleil,Action|Documentary|Drama|Romance|War
Bad Words,Comedy
Fangs of the Living Dead (Malenka),Horror
Murder on a Sunday Morning (Un coupable idéal),Documentary
Triggermen,Comedy|Crime
Virus,Horror|Sci-Fi
Wild at Heart,Crime|Drama|Mystery|Romance|Thriller
Gretchen the Greenhorn,Crime|Drama|Romance
Toy Story Toons: Partysaurus Rex,Animation|Children|Comedy
Recipe for Love,Romance
Harry Potter and the Order of the Phoenix,Adventure|Drama|Fantasy|IMAX
Zapped Again!,Comedy|Sci-Fi
Deadly Blessing,Horror
Time Code,Comedy|Drama
Tout ce qui brille,Comedy|Drama
Spring Subway,Drama|Romance
Black Venus,Drama
Lawless,Crime|Drama
Paradise: Love,Drama
Anatahan,Drama|War
Thank God It's Friday,Comedy|Musical
Wolf Creek,Crime|Horror|Thriller
Batch '81,Drama
Ladies vs. Ricky Bahl,Comedy|Drama
Street Trash,Comedy|Horror
Crossover,Action|Drama
One Body Too Many,Comedy|Horror|Mystery
Sasayaki (a.k.a. Moonlight Whispers) (Gekkô no sasayaki),Drama|Romance
Thomasine & Bushrod,Action|Crime|Western
Soul Surfer,Action|Drama
I Never Sang for My Father,Drama
"Lord of the Rings: The Two Towers, The",Adventure|Fantasy
History of Kim Skov (Historien om Kim Skov),Documentary|Drama
Devil's Doorway,Western
Squeeze,Drama
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,Sci-Fi
Crac,Animation
"Tripper, The",Horror
Doctor Zhivago,Drama|Romance|War
Police State,Drama
"Club, The",Horror
Flesh and Bone,Drama|Mystery|Romance
Buried Alive,Film-Noir|Horror|Thriller
"Little Rascals, The",Children|Comedy
Private Detective 62,Comedy|Crime|Drama
Erendira,Drama
Moneyball,Drama
Kiss Me Deadly,Film-Noir
"Year of the Wolf, The (Suden vuosi)",Drama|Romance
Missionary Man,Action|Drama|Thriller|Western
Violet & Daisy,Action|Drama
"Bourne Legacy, The",Action|Adventure|Drama|Thriller|IMAX
Cold Fish (Tsumetai nettaigyo),Drama|Thriller
Phantom of the Paradise,Comedy|Fantasy|Horror|Musical|Thriller
Basket Case 2,Comedy|Horror
"Italian Job, The",Action|Comedy|Crime
Nice Guys Sleep Alone,Comedy|Romance
"Perfect Plan, A (Plan parfait, Un)",Adventure|Comedy|Romance
Two if by Sea,Comedy|Romance
"Field in England, A",Drama|Fantasy|Thriller|War
Django,Western
Ticked-Off Trannies with Knives,Action|Comedy|Crime|Horror|Thriller
Porco Rosso (Crimson Pig) (Kurenai no buta),Adventure|Animation|Comedy|Fantasy|Romance
Savior,Drama|War
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano)",Drama
Double Dragon,Action|Adventure|Sci-Fi
Love Actually,Comedy|Drama|Romance
Extraction,Action
Storefront Hitchcock,Documentary|Musical
Snow Falling on Cedars,Drama
"Prairie Home Companion, A",Comedy|Drama|Musical
"Last of the High Kings, The (a.k.a. Summer Fling)",Comedy|Drama
Winter Passing,Drama
Sniper: Reloaded ,Action|Drama|Thriller|War
Screwed in Tallinn (Torsk på Tallinn - En liten film om ensamhet),Comedy|Drama
Home Room,Drama
"Sometimes Happiness, Sometimes Sorrow (Kabhi Khushi Kabhie Gham)",Drama|Musical|Romance
Jack and Diane,Drama|Horror|Romance
The Shadow of the Eagle,Crime|Drama|Mystery|Thriller
"'Human' Factor, The (Human Factor, The)",Drama|Thriller
Body Count,Comedy|Crime|Drama|Thriller
"Rites of May, The (Itim) ",Drama|Horror|Thriller
"Slammin' Salmon, The",Comedy
Jungleground,Action|Sci-Fi|Thriller
Casting Couch,(no genres listed)
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance
Wilby Wonderful,Drama
Federico Fellini's Autobiography (Federico Fellini - un autoritratto ritrovato),Documentary
Comrade X,Comedy|Drama
Citizen Cohn,Drama
Only You,Comedy|Romance
"Art of Getting By, The",Drama|Romance
V: The Final Battle,Action|Sci-Fi
To Each His Own,Drama
Bringing Down the House,Comedy
Jackass Number Two,Comedy|Documentary
"Amityville Curse, The",Horror
"Bounty Hunter, The",Action|Comedy|Romance
